id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,1,162.159.140.98,8c:ae:4c:dd:1e:39,8c:ae:4c,443,192.168.137.214,0c:8b:95:09:c6:08,0c:8b:95,52641,6,4,0,0,1703270858147,1703272652169,1794022,905,70759,1703270858147,1703272651990,1793843,512,38599,1703270858265,1703272652169,1793904,393,32160,60,78.18674033149188,19.41043194353204,144,60,75.38867187499991,21.1861405744432,144,60,81.83206106870227,16.13091499094954,114,0,1984.5376106194697,3427.1693909145065,10095,0,3510.4559686888447,3983.171588009741,10117,0,4576.285714285711,3988.2468935470206,10154,0,0,0,0,905,512,0,0,0,0,0,0,512,242,0,0,0,0,0,0,393,270,0,0,TLS,Web,0,6,,,,,
1,1,162.159.140.98,8c:ae:4c:dd:1e:39,8c:ae:4c,443,192.168.137.214,0c:8b:95:09:c6:08,0c:8b:95,52641,6,4,0,0,1703272658226,1703274452342,1794116,908,70964,1703272658226,1703274452147,1793921,513,38684,1703272658259,1703274452342,1794083,395,32280,60,78.15418502202648,19.39840563632589,144,60,75.40740740740748,21.169694391940283,144,60,81.72151898734178,16.164554119107716,114,0,1978.0771775082665,3426.273422185317,10075,0,3503.7519531250027,3982.253461680784,10092,2,4553.5101522842615,3986.821568618096,10142,0,0,0,0,908,513,0,0,0,0,0,0,513,243,0,0,0,0,0,0,395,270,0,0,TLS,Web,0,6,,,,,
2,1,162.159.140.98,8c:ae:4c:dd:1e:39,8c:ae:4c,443,192.168.137.214,0c:8b:95:09:c6:08,0c:8b:95,52641,6,4,0,0,1703274458405,1703276252302,1793897,914,71778,1703274458405,1703276252089,1793684,517,39378,1703274458478,1703276252302,1793824,397,32400,60,78.53172866520788,20.069746399922064,144,60,76.16634429400386,22.32614548181192,144,60,81.61209068010076,16.197039725534545,114,0,1964.837897042716,3421.879282903474,10124,0,3476.131782945737,3969.76239562838,10141,2,4529.858585858585,3992.98160798714,10140,0,0,0,0,914,517,0,0,0,0,0,0,517,247,0,0,0,0,0,0,397,270,0,0,TLS,Web,0,6,,,,,
3,1,162.159.140.98,8c:ae:4c:dd:1e:39,8c:ae:4c,443,192.168.137.214,0c:8b:95:09:c6:08,0c:8b:95,52641,6,4,0,0,1703276258562,1703278052292,1793730,905,70784,1703276258562,1703278052119,1793557,513,38684,1703276258593,1703278052292,1793699,392,32100,60,78.21436464088417,19.402308424254542,144,60,75.40740740740739,21.1696943919403,144,60,81.88775510204081,16.113651757210686,114,0,1984.2146017699124,3423.898326811805,10096,0,3503.0410156249995,3971.114688245477,10143,20,4587.465473145778,3968.849334402789,10154,0,0,0,0,905,513,0,0,0,0,0,0,513,243,0,0,0,0,0,0,392,270,0,0,TLS,Web,0,6,,,,,
4,1,162.159.140.98,8c:ae:4c:dd:1e:39,8c:ae:4c,443,192.168.137.214,0c:8b:95:09:c6:08,0c:8b:95,52641,6,4,0,0,1703278058808,1703279852684,1793876,904,70699,1703278058808,1703279852394,1793586,512,38599,1703278058922,1703279852684,1793762,392,32100,60,78.20685840707982,19.4117338867331,144,60,75.38867187499991,21.1861405744432,144,60,81.88775510204079,16.11365175721069,114,0,1986.5736434108544,3413.709819632104,10230,0,3509.9530332681024,3965.624896699031,10381,1,4587.626598465481,3946.790010681962,10247,0,0,0,0,904,512,0,0,0,0,0,0,512,242,0,0,0,0,0,0,392,270,0,0,TLS,Web,0,6,,,,,
5,1,162.159.140.98,8c:ae:4c:dd:1e:39,8c:ae:4c,443,192.168.137.214,0c:8b:95:09:c6:08,0c:8b:95,52641,6,4,0,0,1703279859092,1703281652828,1793736,911,71119,1703279859092,1703281652605,1793513,512,38599,1703279859153,1703281652828,1793675,399,32520,60,78.06695938529086,19.402246258239835,144,60,75.38867187499996,21.1861405744432,144,60,81.50375939849626,16.228406167456356,114,0,1971.138461538461,3391.8277817983867,10100,0,3509.810176125244,3950.923229557493,10117,1,4506.721105527631,3927.37729832932,10157,0,0,0,0,911,512,0,0,0,0,0,0,512,242,0,0,0,0,0,0,399,270,0,0,TLS,Web,0,6,,,,,
6,1,162.159.140.98,8c:ae:4c:dd:1e:39,8c:ae:4c,443,192.168.137.214,0c:8b:95:09:c6:08,0c:8b:95,52641,6,4,0,0,1703281659270,1703283452539,1793269,905,70675,1703281659270,1703283452328,1793058,511,38455,1703281659356,1703283452539,1793183,394,32220,60,78.0939226519337,19.29587444370189,144,60,75.25440313111544,20.98771478153093,144,60,81.77664974619292,16.1478809438343,114,0,1983.7046460176975,3402.545729925006,10160,0,3515.800000000003,3952.722787320003,10177,0,4562.80661577608,3931.9751149192025,10216,0,0,0,0,905,511,0,0,0,0,0,0,511,241,0,0,0,0,0,0,394,270,0,0,TLS,Web,0,6,,,,,
7,1,162.159.140.98,8c:ae:4c:dd:1e:39,8c:ae:4c,443,192.168.137.214,0c:8b:95:09:c6:08,0c:8b:95,52641,6,4,0,0,1703283459505,1703285252536,1793031,908,71048,1703283459505,1703285252263,1792758,514,38828,1703283459558,1703285252536,1792978,394,32220,60,78.24669603524232,19.511700051671585,144,60,75.54085603112836,21.364361665241685,144,60,81.77664974619293,16.1478809438343,114,0,1976.8809261300976,3397.2149255980908,10440,0,3494.6549707602344,3943.751379736741,10456,0,4562.284987277361,3924.867623557846,10497,0,0,0,0,908,514,0,0,0,0,0,0,514,244,0,0,0,0,0,0,394,270,0,0,TLS,Web,0,6,,,,,
8,1,162.159.140.98,8c:ae:4c:dd:1e:39,8c:ae:4c,443,192.168.137.214,0c:8b:95:09:c6:08,0c:8b:95,52641,6,4,0,0,1703285260178,1703287052378,1792200,905,70843,1703285260178,1703287052320,1792142,513,38743,1703285260287,1703287052378,1792091,392,32100,60,78.27955801104967,19.52387555324478,144,60,75.52241715399616,21.38112084342061,144,60,81.8877551020408,16.113651757210686,114,0,1982.5221238938043,3402.059980076353,10076,0,3500.27734375,3949.4984319811433,10141,1,4583.352941176473,3927.963871737776,10092,0,0,0,0,905,513,0,0,0,0,0,0,513,243,0,0,0,0,0,0,392,270,0,0,TLS,Web,0,6,,,,,
9,1,162.159.140.98,8c:ae:4c:dd:1e:39,8c:ae:4c,443,192.168.137.214,0c:8b:95:09:c6:08,0c:8b:95,52641,6,4,0,0,1703287060770,1703288852551,1791781,909,71058,1703287060770,1703288852389,1791619,512,38658,1703287060798,1703288852551,1791753,397,32400,60,78.17161716171631,19.526420250532613,144,60,75.50390625000009,21.39791639853354,144,60,81.61209068010075,16.197039725534545,114,0,1973.3270925110144,3405.981792224896,10142,0,3506.103718199612,3968.267737721467,10158,1,4524.62878787879,3951.125635617651,10199,0,0,0,0,909,512,0,0,0,0,0,0,512,242,0,0,0,0,0,0,397,270,0,0,TLS,Web,0,6,,,,,
